BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
0.001971,12,16K,lz4,HDFS,0.022788,0.004655,0.003807,16328,3694.0,6870.0,0.338637,0.361713,0.049796,5488,5,147,5967
0.001971,46,16K,gzip,HDFS,0.018777,0.003325,0.002413,16347,2177.0,6012.0,0.318398,0.322549,0.045395,6339,5,161,6123
0.001971,46,16K,deflate,HDFS,0.018777,0.007586,0.007342,16347,2257.0,16051.0,0.624353,0.620378,0.045395,6339,5,161,6123
0.001971,46,16K,lz4,HDFS,0.018777,0.002952,0.002896,16347,3466.0,6862.0,0.346844,0.374262,0.045395,6339,5,161,6123
0.001971,20,16K,gzip,HDFS,0.018964,0.003334,0.002409,16270,2084.0,5834.0,0.333725,0.33951,0.045793,5860,5,140,5928
0.001971,20,16K,deflate,HDFS,0.018964,0.008061,0.006546,16270,2221.0,15865.0,0.633672,0.62004,0.045793,5860,5,140,5928
0.001971,20,16K,lz4,HDFS,0.018964,0.003951,0.003867,16270,3440.0,6613.0,0.364391,0.374653,0.045793,5860,5,140,5928
0.001971,38,16K,gzip,HDFS,0.016163,0.00359,0.002825,16314,2164.0,3799.0,0.095579,0.108159,0.039873,3127,1,228,9523
0.001971,38,16K,deflate,HDFS,0.016163,0.00903,0.006182,16314,2403.0,7049.0,0.195961,0.198838,0.039873,3127,1,228,9523
0.001971,38,16K,lz4,HDFS,0.016163,0.003959,0.004678,16314,3639.0,5375.0,0.113364,0.116572,0.039873,3127,1,228,9523
0.001971,40,16K,gzip,HDFS,0.017357,0.003575,0.002791,16272,3343.0,5972.0,0.179847,0.181352,0.043118,4037,3,311,6837
0.001971,40,16K,deflate,HDFS,0.017357,0.010568,0.008183,16272,3427.0,11683.0,0.372429,0.364672,0.043118,4037,3,311,6837
0.001971,40,16K,lz4,HDFS,0.017357,0.003246,0.003508,16272,5453.0,8384.0,0.192169,0.202258,0.043118,4037,3,311,6837
