ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
24,16K,lz4,Thunderbird,0.017314,0.014426,16369,2573.0,5332.0,1.508264,1.520768,7.505528,6494,6,47,1694
76,16K,gzip,Thunderbird,0.014939,0.01308,16298,2014.0,7224.0,2.591537,2.611507,6.069211,5293,59,55,984
76,16K,deflate,Thunderbird,0.017124,0.022431,16298,2092.0,24772.0,3.108801,3.124129,6.069211,5293,59,55,984
76,16K,lz4,Thunderbird,0.016109,0.015324,16298,2966.0,5855.0,2.595233,2.655522,6.069211,5293,59,55,984
55,16K,gzip,Thunderbird,0.01356,0.015359,16359,1558.0,18745.0,7.016047,7.084478,6.259208,3713,14,54,7383
55,16K,deflate,Thunderbird,0.017729,0.018564,16359,1663.0,69139.0,8.708513,8.753673,6.259208,3713,14,54,7383
55,16K,lz4,Thunderbird,0.015573,0.015734,16359,2314.0,16467.0,7.215999,7.207796,6.259208,3713,14,54,7383
64,16K,gzip,Thunderbird,0.013653,0.014756,16343,1381.0,5460.0,1.728461,1.727393,7.425957,7617,8,22,2397
64,16K,deflate,Thunderbird,0.017771,0.018785,16343,1470.0,17490.0,2.076545,2.029075,7.425957,7617,8,22,2397
64,16K,lz4,Thunderbird,0.01633,0.015208,16343,2186.0,5281.0,1.773498,1.760317,7.425957,7617,8,22,2397
75,16K,gzip,Thunderbird,0.013779,0.015624,16373,1971.0,7999.0,2.333952,2.323873,6.44707,3908,6,225,3756
75,16K,deflate,Thunderbird,0.018104,0.021589,16373,1950.0,23615.0,2.775045,2.750459,6.44707,3908,6,225,3756
75,16K,lz4,Thunderbird,0.01482,0.016915,16373,3135.0,8148.0,2.333955,2.356639,6.44707,3908,6,225,3756
29,16K,gzip,Thunderbird,0.013973,0.014825,16336,1070.0,8994.0,3.428391,3.414342,6.045616,6337,16,42,2055
29,16K,deflate,Thunderbird,0.021446,0.020807,16336,1191.0,32093.0,4.096419,4.107826,6.045616,6337,16,42,2055
29,16K,lz4,Thunderbird,0.017633,0.017294,16336,1634.0,7330.0,3.453631,3.501346,6.045616,6337,16,42,2055
67,16K,gzip,Thunderbird,0.01364,0.014755,16250,1680.0,17948.0,6.901941,6.849422,9.868034,5146,15,37,6206
