BuildTreeFromTemplateTime,ChunkId,ChunkSize,Compressor,File,MatchTemplateTime,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
3.764663,19,16K,lz4,Android,0.088025,0.014466,0.011829,16361,4541.0,18712.0,7.883919,7.918885,0.160411,5283,64,116,4338
3.764663,20,16K,gzip,Android,1.676009,0.010965,0.010982,16306,3078.0,21979.0,6.511749,6.58063,1.749273,5579,75,72,2970
3.764663,20,16K,deflate,Android,1.676009,0.016275,0.017315,16306,3164.0,77170.0,9.131377,9.162362,1.749273,5579,75,72,2970
3.764663,20,16K,lz4,Android,1.676009,0.014858,0.013545,16306,4446.0,16442.0,6.825453,6.796814,1.749273,5579,75,72,2970
3.764663,21,16K,gzip,Android,0.148104,0.010667,0.011719,16224,2764.0,19132.0,5.235767,5.249492,0.21217,4695,49,91,4871
3.764663,21,16K,deflate,Android,0.148104,0.016684,0.0164,16224,2824.0,64469.0,7.243438,7.251891,0.21217,4695,49,91,4871
3.764663,21,16K,lz4,Android,0.148104,0.013049,0.013376,16224,4221.0,15910.0,5.387208,5.513298,0.21217,4695,49,91,4871
3.764663,22,16K,gzip,Android,17.52917,0.011014,0.011714,16360,3434.0,38610.0,11.656024,11.683497,17.608598,4678,50,91,5725
3.764663,22,16K,deflate,Android,17.52917,0.018657,0.016313,16360,3528.0,136323.0,16.620728,16.732233,17.608598,4678,50,91,5725
3.764663,22,16K,lz4,Android,17.52917,0.012696,0.012795,16360,4944.0,28464.0,12.206394,12.272603,17.608598,4678,50,91,5725
3.764663,23,16K,gzip,Android,0.605075,0.010865,0.011756,16249,3074.0,33082.0,9.536037,9.629961,0.679278,4234,32,136,8154
3.764663,23,16K,deflate,Android,0.605075,0.017791,0.014733,16249,3181.0,114290.0,13.391762,13.539572,0.679278,4234,32,136,8154
3.764663,23,16K,lz4,Android,0.605075,0.014828,0.012596,16249,4486.0,27028.0,10.015986,10.15209,0.679278,4234,32,136,8154
3.764663,24,16K,gzip,Android,0.114985,0.010914,0.011514,16272,3615.0,19821.0,5.992513,5.955059,0.19289,6979,103,106,2517
3.764663,24,16K,deflate,Android,0.114985,0.018274,0.01688,16272,3682.0,69170.0,8.169001,8.131989,0.19289,6979,103,106,2517
3.764663,24,16K,lz4,Android,0.114985,0.012336,0.011583,16272,5320.0,15029.0,6.217681,6.243913,0.19289,6979,103,106,2517
3.764663,25,16K,gzip,Android,7.919566,0.01095,0.011668,16095,3613.0,29852.0,8.787604,8.948787,7.992067,5081,61,90,4593
3.764663,25,16K,deflate,Android,7.919566,0.015967,0.01509,16095,3717.0,103948.0,12.342207,12.46705,7.992067,5081,61,90,4593
3.764663,25,16K,lz4,Android,7.919566,0.015227,0.014495,16095,5104.0,22472.0,9.284643,9.259574,7.992067,5081,61,90,4593
3.764663,26,16K,gzip,Android,2.238487,0.010996,0.011518,16376,3164.0,33625.0,10.576108,10.487553,2.32197,5447,75,117,4428
3.764663,26,16K,deflate,Android,2.238487,0.017938,0.014903,16376,3285.0,119765.0,14.743733,14.880545,2.32197,5447,75,117,4428
3.764663,26,16K,lz4,Android,2.238487,0.012845,0.011969,16376,4730.0,24466.0,11.027255,11.012981,2.32197,5447,75,117,4428
3.764663,27,16K,gzip,Android,0.161579,0.010996,0.011414,16260,3466.0,20921.0,6.358241,6.360451,0.231977,4107,88,71,5458
3.764663,27,16K,deflate,Android,0.161579,0.015504,0.015919,16260,3501.0,72945.0,8.673793,8.681552,0.231977,4107,88,71,5458
3.764663,27,16K,lz4,Android,0.161579,0.012862,0.012307,16260,4967.0,15963.0,6.582184,6.62556,0.231977,4107,88,71,5458
3.764663,28,16K,gzip,Android,0.628474,0.011001,0.011579,16272,4124.0,34700.0,10.205648,10.266137,0.711316,4950,83,123,4828
3.764663,28,16K,deflate,Android,0.628474,0.016097,0.016881,16272,4185.0,119904.0,14.45752,14.634236,0.711316,4950,83,123,4828
3.764663,28,16K,lz4,Android,0.628474,0.01216,0.012297,16272,5970.0,25991.0,10.550711,10.633344,0.711316,4950,83,123,4828
3.764663,29,16K,gzip,Android,0.231139,0.010977,0.011796,16258,4194.0,36955.0,11.400666,11.381252,0.313592,3892,79,96,6433
3.764663,29,16K,deflate,Android,0.231139,0.016654,0.01745,16258,4241.0,131679.0,16.322394,16.408876,0.313592,3892,79,96,6433
3.764663,29,16K,lz4,Android,0.231139,0.013503,0.013007,16258,5945.0,26197.0,11.844575,11.865278,0.313592,3892,79,96,6433
3.764663,30,16K,gzip,Android,0.221799,0.010896,0.011597,16243,1965.0,13380.0,3.849125,3.803338,0.277681,6333,25,51,4972
3.764663,30,16K,deflate,Android,0.221799,0.016719,0.017321,16243,2097.0,45702.0,5.21709,5.190957,0.277681,6333,25,51,4972
3.764663,30,16K,lz4,Android,0.221799,0.012288,0.012948,16243,2902.0,10864.0,4.060727,3.97603,0.277681,6333,25,51,4972
3.764663,31,16K,gzip,Android,0.063628,0.010729,0.011213,16035,2000.0,8580.0,2.474712,2.468057,0.115799,4626,26,40,1339
3.764663,31,16K,deflate,Android,0.063628,0.016124,0.015014,16035,2056.0,29078.0,3.287644,3.289295,0.115799,4626,26,40,1339
3.764663,31,16K,lz4,Android,0.063628,0.013819,0.012955,16035,3512.0,6995.0,2.584714,2.529588,0.115799,4626,26,40,1339
3.764663,32,16K,gzip,Android,8.169972,0.010951,0.011439,16376,3397.0,32294.0,9.827819,9.750202,8.244267,4592,55,102,5365
3.764663,32,16K,deflate,Android,8.169972,0.018739,0.016221,16376,3482.0,113308.0,13.628923,13.730807,8.244267,4592,55,102,5365
3.764663,32,16K,lz4,Android,8.169972,0.014187,0.013143,16376,4930.0,24266.0,10.206388,10.149827,8.244267,4592,55,102,5365
3.764663,33,16K,gzip,Android,0.278017,0.010943,0.011996,16348,3147.0,30237.0,9.014265,9.077671,0.355127,4503,64,108,5791
3.764663,33,16K,deflate,Android,0.278017,0.017631,0.017261,16348,3231.0,105983.0,12.509979,12.643395,0.355127,4503,64,108,5791
3.764663,33,16K,lz4,Android,0.278017,0.015182,0.013874,16348,4718.0,23640.0,9.440896,9.476534,0.355127,4503,64,108,5791
3.764663,34,16K,gzip,Android,0.242063,0.010939,0.011995,16297,3461.0,27703.0,8.251561,8.218453,0.316067,5517,61,115,4261
3.764663,34,16K,deflate,Android,0.242063,0.018581,0.01676,16297,3572.0,95812.0,11.470546,11.513932,0.316067,5517,61,115,4261
3.764663,34,16K,lz4,Android,0.242063,0.011213,0.011333,16297,5035.0,21336.0,8.500808,8.743986,0.316067,5517,61,115,4261
3.764663,35,16K,gzip,Android,7.99456,0.010919,0.01136,16302,3564.0,31940.0,9.54761,9.53997,8.068772,5013,58,90,4939
3.764663,35,16K,deflate,Android,7.99456,0.019874,0.016017,16302,3639.0,111337.0,13.425786,13.507837,8.068772,5013,58,90,4939
3.764663,35,16K,lz4,Android,7.99456,0.014394,0.014571,16302,5117.0,24347.0,9.938353,9.95503,8.068772,5013,58,90,4939
3.764663,36,16K,gzip,Android,0.204382,0.01103,0.011873,16352,3415.0,29972.0,9.056299,8.941788,0.281511,5468,59,115,4295
3.764663,36,16K,deflate,Android,0.204382,0.018897,0.0165,16352,3511.0,104420.0,12.592674,12.621132,0.281511,5468,59,115,4295
3.764663,36,16K,lz4,Android,0.204382,0.013255,0.013364,16352,4912.0,22344.0,9.267214,9.351368,0.281511,5468,59,115,4295
3.764663,37,16K,gzip,Android,0.122892,0.010855,0.011738,16358,2439.0,11477.0,3.240075,3.243662,0.179704,6635,41,58,3841
3.764663,37,16K,deflate,Android,0.122892,0.017435,0.016026,16358,2536.0,39226.0,4.378893,4.406033,0.179704,6635,41,58,3841
3.764663,37,16K,lz4,Android,0.122892,0.016955,0.014562,16358,3544.0,10315.0,3.426321,3.387656,0.179704,6635,41,58,3841
3.764663,38,16K,gzip,Android,7.829115,0.011054,0.012273,16265,3478.0,30366.0,9.296895,9.293327,7.902604,5032,63,92,4030
3.764663,38,16K,deflate,Android,7.829115,0.015037,0.016713,16265,3580.0,106365.0,12.954613,12.96342,7.902604,5032,63,92,4030
3.764663,38,16K,lz4,Android,7.829115,0.012007,0.012474,16265,5050.0,22585.0,9.717037,9.63854,7.902604,5032,63,92,4030
3.764663,39,16K,gzip,Android,0.185772,0.011,0.011613,16367,3290.0,28438.0,8.523449,8.56078,0.260627,4122,65,124,5697
