ChunkId,ChunkSize,Compressor,File,Original Compress Time,Original Decompress Time,Original Size,Original Size Compreseed,Prep: Total compressed size,Prep: Total compression time,Prep: Total decompression time,PreprocessingTime,TemplateSize,UniqueNumTemplates,UniqueNumVariables,VariableSize
10,256K,gzip,Windows,0.006321,0.004799,262050,18329.0,33128.0,2.872379,2.963087,1.944745,98246,18,493,116686
10,256K,deflate,Windows,0.02649,0.007219,262050,18405.0,94295.0,5.356407,5.386441,1.944745,98246,18,493,116686
10,256K,lz4,Windows,0.005757,0.005203,262050,29757.0,33724.0,3.20998,3.234902,1.944745,98246,18,493,116686
59,256K,gzip,Windows,0.006192,0.004966,261931,18700.0,21143.0,1.381701,1.351462,1.604203,100396,9,486,114362
59,256K,deflate,Windows,0.028204,0.007055,261931,18763.0,48708.0,2.379153,2.383904,1.604203,100396,9,486,114362
59,256K,lz4,Windows,0.006407,0.00648,261931,30647.0,25780.0,1.483708,1.495986,1.604203,100396,9,486,114362
11,256K,gzip,Windows,0.006557,0.005111,261973,18498.0,30358.0,3.289678,3.298267,1.700576,100309,20,200,114345
11,256K,deflate,Windows,0.028507,0.007129,261973,18950.0,98037.0,6.079095,6.015412,1.700576,100309,20,200,114345
11,256K,lz4,Windows,0.006324,0.005629,261973,14365.0,26535.0,3.582155,3.613355,1.700576,100309,20,200,114345
92,256K,gzip,Windows,0.006089,0.004677,262000,8117.0,37281.0,3.758309,3.809136,5.578578,77123,24,313,132652
92,256K,deflate,Windows,0.026935,0.00728,262000,9361.0,117323.0,6.859106,6.965243,5.578578,77123,24,313,132652
92,256K,lz4,Windows,0.005258,0.005951,262000,12265.0,39216.0,4.09246,4.147117,5.578578,77123,24,313,132652
17,256K,gzip,Windows,0.00658,0.004811,262141,18176.0,37660.0,3.804997,3.827522,1.996036,98241,23,464,116629
17,256K,deflate,Windows,0.02799,0.007714,262141,18233.0,114193.0,6.937943,7.040042,1.996036,98241,23,464,116629
17,256K,lz4,Windows,0.005873,0.005432,262141,29800.0,35869.0,4.124058,4.229591,1.996036,98241,23,464,116629
6,256K,gzip,Windows,0.006497,0.005063,262079,17880.0,38977.0,4.079077,4.074166,1.911172,99873,24,381,114780
